[2025-09-18 10:45:11] [INFO    ] discord.client: logging in using static token
[2025-09-18 10:45:12] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-09-18 10:45:12] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-09-18 10:45:12] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1418284022701756428', 'username': 'Project_bot', 'avatar': None, 'discriminator': '1449', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-09-18 10:45:12] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-09-18 10:45:12] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-09-18 10:45:12] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1418284022701756428', 'name': 'Project_bot', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1418284022701756428', 'username': 'Project_bot', 'avatar': None, 'discriminator': '1449', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '8e372036cd28747a7ca174bce60ed699eac04739bf716000f2bb40b398680df8', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '371673533970907136', 'username': 'rareredhood45', 'avatar': '6826d692759c1903df02a887ddd07c9a', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 0, 'global_name': 'Rxd', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#000000', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-09-18 10:45:12] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-09-18 10:45:12] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-lgwb",{"micros":0.0}]']}}
[2025-09-18 10:45:12] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-09-18 10:45:12] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-18 10:45:13] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Project_bot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1418284022701756428', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '1449', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '9846c0501898990628929f3bdcbb3f87', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1358963146563518496'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-west', 'santa-clara', 'oregon', 'seattle', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1418284022701756428', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-b-lgwb",{"micros":142984,"calls":["id_created",{"micros":677,"calls":[]},"session_lookup_time",{"micros":294,"calls":[]},"session_lookup_finished",{"micros":13,"calls":[]},"discord-sessions-prd-2-154",{"micros":141578,"calls":["start_session",{"micros":111521,"calls":["discord-api-rpc-6547447c77-lfxc5",{"micros":62977,"calls":["get_user",{"micros":6669},"get_guilds",{"micros":3623},"send_scheduled_deletion_message",{"micros":16},"guild_join_requests",{"micros":3700},"authorized_ip_coro",{"micros":8},"pending_payments",{"micros":19788},"apex_experiments",{"micros":18637},"user_activities",{"micros":4},"played_application_ids",{"micros":3}]}]},"starting_guild_connect",{"micros":35,"calls":[]},"presence_started",{"micros":14020,"calls":[]},"guilds_started",{"micros":50,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":15858,"calls":[]},"connect_finished",{"micros":15936,"calls":[]},"build_ready",{"micros":12,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-09-18 10:45:13] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-18 10:45:13] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 9846c0501898990628929f3bdcbb3f87).
[2025-09-18 10:45:13] [DEBUG   ] discord.client: Dispatching event connect
